Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
19	19	0,043	364436.6686	6178514.747	09:49:43	02.06.2025	52663501	52649188
19	19	0,13	364436.714	6178514.67	09:49:43	02.06.2025	52666097	52651925
19	19	0,217	364436.7594	6178514.592	09:49:43	02.06.2025	52665756	52651664
19	19	0,304	364436.8048	6178514.514	09:49:43	02.06.2025	52665126	52651676
19	19	0,391	364436.8502	6178514.437	09:49:43	02.06.2025	52664079	52651901
19	19	0,478	364436.8956	6178514.359	09:49:43	02.06.2025	52662432	52651627
19	19	0,565	364436.9415	6178514.28	09:49:43	02.06.2025	52660330	52652089
19	19	0,652	364436.9869	6178514.203	09:49:43	02.06.2025	52656995	52652515
19	19	0,739	364437.0323	6178514.125	09:49:44	02.06.2025	52652051	52651598
19	19	0,826	364437.0776	6178514.047	09:49:44	02.06.2025	52646531	52652095
19	19	0,913	364437.123	6178513.969	09:49:44	02.06.2025	52643317	52652090
19	19	1	364436.1626	6178515.607	09:49:44	02.06.2025	52643291	52652397
19	19	1,087	364436.208	6178515.529	09:49:44	02.06.2025	52644901	52652086
19	19	1,174	364436.2534	6178515.452	09:49:44	02.06.2025	52647105	52652257
19	19	1,261	364436.2988	6178515.374	09:49:44	02.06.2025	52649216	52651368
19	19	1,348	364436.3442	6178515.296	09:49:44	02.06.2025	52651351	52652211
19	19	1,435	364436.3896	6178515.219	09:49:44	02.06.2025	52653482	52653505
19	19	1,522	364436.4354	6178515.14	09:49:44	02.06.2025	52655580	52653592
19	19	1,696	364436.5262	6178514.985	09:49:45	02.06.2025	52658834	52653269
19	19	1,783	364436.5716	6178514.907	09:49:45	02.06.2025	52658567	52653309
19	19	1,87	364436.617	6178514.829	09:49:45	02.06.2025	52658280	52653526
19	19	1,957	364436.6624	6178514.751	09:49:45	02.06.2025	52646716	52653736
19	19	2,043	364435.6939	6178516.403	09:49:45	02.06.2025	52652375	52653835
19	19	2,13	364435.7393	6178516.325	09:49:45	02.06.2025	52658063	52654429
19	19	2,217	364435.7847	6178516.248	09:49:45	02.06.2025	52652383	52654890
19	19	2,304	364435.8301	6178516.17	09:49:45	02.06.2025	52658522	52654865
19	19	2,391	364435.8755	6178516.092	09:49:45	02.06.2025	52659312	52654808
19	19	2,478	364435.9198	6178516.016	09:49:46	02.06.2025	52660008	52655353
19	19	2,565	364435.9214	6178516.014	09:49:46	02.06.2025	52660679	52655451
19	19	2,652	364435.9668	6178515.936	09:49:46	02.06.2025	52661484	52655653
19	19	2,739	364436.0121	6178515.858	09:49:46	02.06.2025	52656393	52655964
19	19	2,826	364436.0575	6178515.781	09:49:46	02.06.2025	52656543	52656183
19	19	2,913	364436.1029	6178515.703	09:49:46	02.06.2025	52662165	52656558
19	19	3	364435.1505	6178517.327	09:49:46	02.06.2025	52662292	52656701
19	19	3,087	364435.1959	6178517.249	09:49:46	02.06.2025	52662844	52656940
19	19	3,174	364435.2413	6178517.171	09:49:46	02.06.2025	52663315	52657147
19	19	3,261	364435.2867	6178517.094	09:49:46	02.06.2025	52663961	52657157
19	19	3,348	364435.3321	6178517.016	09:49:47	02.06.2025	52664875	52657023
19	19	3,435	364435.3775	6178516.938	09:49:47	02.06.2025	52665434	52657331
19	19	3,522	364435.4234	6178516.86	09:49:47	02.06.2025	52665863	52657601
19	19	3,609	364435.4688	6178516.782	09:49:47	02.06.2025	52666292	52657871
19	19	3,696	364435.5142	6178516.704	09:49:47	02.06.2025	52666721	52658141
19	19	3,783	364435.5596	6178516.627	09:49:47	02.06.2025	52667150	52658411
19	19	3,87	364435.605	6178516.549	09:49:47	02.06.2025	52667579	52658681
19	19	3,957	364435.6504	6178516.471	09:49:47	02.06.2025	52668008	52658951
