Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
0	0	10.046	364415.238	6178513.762	09:42:21	30.05.2025	52587806	52556873
0	0	10.138	364415.2839	6178513.683	09:42:21	30.05.2025	52590785	52560154
0	0	10.229	364415.3303	6178513.604	09:42:21	30.05.2025	52591323	52560717
0	0	10.321	364415.3767	6178513.525	09:42:21	30.05.2025	52591604	52561469
0	0	10.413	364415.4231	6178513.445	09:42:22	30.05.2025	52592163	52562080
0	0	10.505	364415.469	6178513.367	09:42:22	30.05.2025	52592970	52563079
0	0	10.596	364415.5154	6178513.287	09:42:22	30.05.2025	52593897	52564052
0	0	10.688	364415.5618	6178513.208	09:42:22	30.05.2025	52594816	52565468
0	0	10.78	364415.6082	6178513.128	09:42:22	30.05.2025	52596195	52566986
0	0	10.872	364415.6541	6178513.05	09:42:22	30.05.2025	52597680	52568092
0	0	10.963	364415.7005	6178512.97	09:42:22	30.05.2025	52599578	52569270
0	0	11.055	364414.7357	6178514.621	09:42:22	30.05.2025	52600914	52570629
0	0	11.147	364414.7821	6178514.541	09:42:22	30.05.2025	52602058	52571588
0	0	11.239	364414.828	6178514.463	09:42:22	30.05.2025	52603117	52572508
0	0	11.33	364414.8744	6178514.383	09:42:23	30.05.2025	52603880	52573285
0	0	11.422	364414.9208	6178514.304	09:42:23	30.05.2025	52604587	52574147
0	0	11.514	364414.9672	6178514.224	09:42:23	30.05.2025	52605262	52575220
0	0	11.606	364415.0131	6178514.146	09:42:23	30.05.2025	52606168	52576776
0	0	11.697	364415.0595	6178514.066	09:42:23	30.05.2025	52605986	52577530
0	0	11.789	364415.1059	6178513.987	09:42:23	30.05.2025	52605687	52578354
0	0	11.881	364415.1518	6178513.908	09:42:23	30.05.2025	52605728	52579227
0	0	11.972	364415.1982	6178513.829	09:42:23	30.05.2025	52606221	52580498
0	0	12.064	364414.2333	6178515.479	09:42:23	30.05.2025	52606875	52582173
0	0	12.156	364414.2797	6178515.4	09:42:23	30.05.2025	52607567	52583887
0	0	12.248	364414.3256	6178515.321	09:42:24	30.05.2025	52607875	52585329
0	0	12.339	364414.372	6178515.242	09:42:24	30.05.2025	52608155	52586319
0	0	12.431	364414.4184	6178515.162	09:42:24	30.05.2025	52608477	52587472
0	0	12.523	364414.4648	6178515.083	09:42:24	30.05.2025	52608956	52588138
0	0	12.615	364414.5107	6178515.004	09:42:24	30.05.2025	52609597	52589094
0	0	12.706	364414.5571	6178514.925	09:42:24	30.05.2025	52610508	52590598
0	0	12.798	364414.6035	6178514.845	09:42:24	30.05.2025	52611913	52592272
0	0	12.89	364414.6499	6178514.766	09:42:24	30.05.2025	52613424	52594042
0	0	12.982	364414.6958	6178514.687	09:42:24	30.05.2025	52614530	52595677
0	0	13.073	364413.731	6178516.338	09:42:24	30.05.2025	52615229	52596419
0	0	13.165	364413.7774	6178516.258	09:42:25	30.05.2025	52615683	52597475
0	0	13.257	364413.8238	6178516.179	09:42:25	30.05.2025	52616233	52598404
0	0	13.349	364413.8697	6178516.1	09:42:25	30.05.2025	52616891	52599822
0	0	13.44	364413.9161	6178516.021	09:42:25	30.05.2025	52617919	52601412
0	0	13.532	364413.9625	6178515.941	09:42:25	30.05.2025	52619672	52602865
0	0	13.624	364414.0089	6178515.862	09:42:25	30.05.2025	52621961	52604262
0	0	13.716	364414.0548	6178515.783	09:42:25	30.05.2025	52624316	52605342
0	0	13.807	364414.1012	6178515.704	09:42:25	30.05.2025	52626027	52605789
0	0	13.899	364414.1476	6178515.625	09:42:25	30.05.2025	52627549	52606707
0	0	13.991	364414.194	6178515.545	09:42:25	30.05.2025	52629204	52607606
0	0	14.083	364413.2287	6178517.196	09:42:26	30.05.2025	52630726	52609019
0	0	14.174	364413.2751	6178517.117	09:42:26	30.05.2025	52631227	52610294
0	0	14.266	364413.3215	6178517.038	09:42:26	30.05.2025	52630448	52611408
0	0	14.358	364413.3679	6178516.958	09:42:26	30.05.2025	52630170	52612365
0	0	14.45	364413.4138	6178516.88	09:42:26	30.05.2025	52630763	52612957
0	0	14.541	364413.4602	6178516.8	09:42:26	30.05.2025	52631937	52613690
0	0	14.633	364413.5066	6178516.721	09:42:26	30.05.2025	52633528	52614605
0	0	14.725	364413.553	6178516.641	09:42:26	30.05.2025	52634366	52615325
0	0	14.817	364413.5989	6178516.563	09:42:26	30.05.2025	52633821	52615952
0	0	14.908	364413.6453	6178516.483	09:42:26	30.05.2025	52633740	52616463
0	0	15	364412.7263	6178518.055	09:42:27	30.05.2025	52634083	52616856
0	0	15.092	364412.7722	6178517.976	09:42:27	30.05.2025	52634936	52617131
0	0	15.183	364412.8186	6178517.897	09:42:27	30.05.2025	52635684	52617691
0	0	15.275	364412.865	6178517.818	09:42:27	30.05.2025	52635434	52618231
0	0	15.367	364412.9114	6178517.738	09:42:27	30.05.2025	52634323	52619155
0	0	15.459	364412.9573	6178517.66	09:42:27	30.05.2025	52633573	52620156
0	0	15.55	364413.0037	6178517.58	09:42:27	30.05.2025	52633729	52620848
0	0	15.642	364413.0501	6178517.501	09:42:27	30.05.2025	52634408	52621383
0	0	15.734	364413.0965	6178517.421	09:42:27	30.05.2025	52635288	52621851
0	0	15.826	364413.1424	6178517.343	09:42:27	30.05.2025	52635687	52622032
0	0	15.917	364413.1888	6178517.263	09:42:28	30.05.2025	52635879	52621721
0	0	16.009	364412.224	6178518.914	09:42:28	30.05.2025	52636175	52621721
0	0	16.101	364412.2704	6178518.834	09:42:28	30.05.2025	52636899	52621891
