FIELD	QMC	ST	DATE	TIME	var_field
52558265	31	81	02.06.2025	08:40:00	52558,265
52561456	30	80	02.06.2025	08:40:03	52561,456
52561661	26	80	02.06.2025	08:40:06	52561,661
52558910	28	80	02.06.2025	08:40:09	52558,91
52571571	26	80	02.06.2025	08:40:12	52571,571
52567176	14	80	02.06.2025	08:40:15	52567,176
52603785	78	82	02.06.2025	08:40:18	52603,785
52637756	21	80	02.06.2025	08:40:21	52637,756
52640140	21	80	02.06.2025	08:40:24	52640,14
52559271	24	80	02.06.2025	08:40:27	52559,271
52580024	35	80	02.06.2025	08:40:30	52580,024
52579769	29	80	02.06.2025	08:40:33	52579,769
52579211	26	80	02.06.2025	08:40:36	52579,211
52580347	26	80	02.06.2025	08:40:39	52580,347
52580875	26	80	02.06.2025	08:40:42	52580,875
52583998	27	80	02.06.2025	08:40:45	52583,998
52584832	27	80	02.06.2025	08:40:48	52584,832
52584601	29	80	02.06.2025	08:40:51	52584,601
52587416	26	80	02.06.2025	08:40:54	52587,416
52586099	26	80	02.06.2025	08:40:57	52586,099
52586434	27	80	02.06.2025	08:41:00	52586,434
52580829	27	80	02.06.2025	08:41:03	52580,829
52579468	26	80	02.06.2025	08:41:06	52579,468
52574705	26	80	02.06.2025	08:41:09	52574,705
52629762	13	80	02.06.2025	08:41:12	52629,762
52475220	8	80	02.06.2025	08:41:15	52475,22
52467406	8	80	02.06.2025	08:41:18	52467,406
52467331	8	80	02.06.2025	08:41:21	52467,331
52421412	9	80	02.06.2025	08:41:24	52421,412
52421013	8	80	02.06.2025	08:41:27	52421,013
52429587	11	80	02.06.2025	08:41:30	52429,587
0	65535	20	02.06.2025	08:41:33	0
52693840	12	80	02.06.2025	08:41:36	52693,84
52693946	9	80	02.06.2025	08:41:39	52693,946
52694560	9	80	02.06.2025	08:41:42	52694,56
52707334	12	80	02.06.2025	08:41:45	52707,334
52707032	13	80	02.06.2025	08:41:48	52707,032
52696811	10	80	02.06.2025	08:41:51	52696,811
52697096	10	80	02.06.2025	08:41:54	52697,096
52689156	31	80	02.06.2025	08:41:57	52689,156
52686473	27	80	02.06.2025	08:42:00	52686,473
52715363	26	80	02.06.2025	08:42:03	52715,363
52706304	42	82	02.06.2025	08:42:06	52706,304
52640828	12	80	02.06.2025	08:42:09	52640,828
52700913	10	80	02.06.2025	08:42:12	52700,913
52702756	9	80	02.06.2025	08:42:15	52702,756
52707602	7	80	02.06.2025	08:42:18	52707,602
52706691	8	80	02.06.2025	08:42:21	52706,691
52706328	7	80	02.06.2025	08:42:24	52706,328
52708397	7	80	02.06.2025	08:42:27	52708,397
52708728	7	80	02.06.2025	08:42:30	52708,728
52707738	7	80	02.06.2025	08:42:33	52707,738
52702862	8	80	02.06.2025	08:42:36	52702,862
52700521	7	80	02.06.2025	08:42:39	52700,521
52699160	7	80	02.06.2025	08:42:42	52699,16
52692509	17	80	02.06.2025	08:42:45	52692,509
52716244	122	84	02.06.2025	08:42:48	52716,244
53520928	65535	84	02.06.2025	08:42:51	53520,928
52677079	113	80	02.06.2025	08:42:54	52677,079
52742612	27	80	02.06.2025	08:42:57	52742,612
52691756	36	80	02.06.2025	08:43:00	52691,756
52703652	9	80	02.06.2025	08:43:03	52703,652
52704039	8	80	02.06.2025	08:43:06	52704,039
52704796	8	80	02.06.2025	08:43:09	52704,796
52704767	9	80	02.06.2025	08:43:12	52704,767
52703125	7	80	02.06.2025	08:43:15	52703,125
52703901	7	80	02.06.2025	08:43:18	52703,901
52704107	7	80	02.06.2025	08:43:21	52704,107
52704735	8	80	02.06.2025	08:43:24	52704,735
52705751	7	80	02.06.2025	08:43:27	52705,751
52706077	7	80	02.06.2025	08:43:30	52706,077
52705442	7	80	02.06.2025	08:43:33	52705,442
52702284	8	80	02.06.2025	08:43:36	52702,284
52695443	14	80	02.06.2025	08:43:39	52695,443
52695199	8	80	02.06.2025	08:43:42	52695,199
52704284	10	80	02.06.2025	08:43:45	52704,284
52698611	8	80	02.06.2025	08:43:48	52698,611
52711069	7	80	02.06.2025	08:43:51	52711,069
52702381	28	80	02.06.2025	08:43:54	52702,381
52605889	34	80	02.06.2025	08:43:57	52605,889
52671707	64370	82	02.06.2025	08:44:00	52671,707
52681601	296	82	02.06.2025	08:44:03	52681,601
