FIELD	QMC	ST	DATE	TIME	var_field
52668323	8	81	30.05.2025	08:33:00	52668,323
52665719	8	80	30.05.2025	08:33:06	52665,719
52661396	8	80	30.05.2025	08:33:12	52661,396
52657071	8	80	30.05.2025	08:33:18	52657,071
52659489	8	80	30.05.2025	08:33:24	52659,489
52655752	8	80	30.05.2025	08:34:00	52655,752
52656677	7	80	30.05.2025	08:34:06	52656,677
52661684	7	80	30.05.2025	08:34:12	52661,684
52662937	8	80	30.05.2025	08:34:18	52662,937
52669814	8	80	30.05.2025	08:34:24	52669,814
52675095	13	80	30.05.2025	08:34:30	52675,095
52674103	8	80	30.05.2025	08:34:36	52674,103
52673565	12	80	30.05.2025	08:34:42	52673,565
52672773	10	80	30.05.2025	08:34:48	52672,773
52671893	9	80	30.05.2025	08:34:54	52671,893
52669650	8	80	30.05.2025	08:35:00	52669,65
52668645	7	80	30.05.2025	08:35:06	52668,645
52670453	8	80	30.05.2025	08:35:12	52670,453
52668132	7	80	30.05.2025	08:35:18	52668,132
52668141	7	80	30.05.2025	08:35:24	52668,141
52668658	7	80	30.05.2025	08:35:30	52668,658
52670415	7	80	30.05.2025	08:35:36	52670,415
52669930	8	80	30.05.2025	08:35:42	52669,93
52668607	7	80	30.05.2025	08:35:48	52668,607
52667453	8	80	30.05.2025	08:35:54	52667,453
52669421	7	80	30.05.2025	08:36:00	52669,421
52664775	7	80	30.05.2025	08:36:06	52664,775
52660130	7	80	30.05.2025	08:36:12	52660,13
52660850	7	80	30.05.2025	08:36:18	52660,85
52660652	8	80	30.05.2025	08:36:24	52660,652
52660602	7	80	30.05.2025	08:36:30	52660,602
52659443	8	80	30.05.2025	08:36:36	52659,443
52661484	8	80	30.05.2025	08:36:42	52661,484
52661272	7	80	30.05.2025	08:36:48	52661,272
52666457	8	80	30.05.2025	08:36:54	52666,457
52659536	8	80	30.05.2025	08:37:00	52659,536
52662288	7	80	30.05.2025	08:37:06	52662,288
52663191	8	80	30.05.2025	08:37:12	52663,191
52659650	8	80	30.05.2025	08:37:18	52659,65
52661459	7	80	30.05.2025	08:37:24	52661,459
52658279	7	80	30.05.2025	08:37:30	52658,279
52657581	8	80	30.05.2025	08:37:36	52657,581
52658249	8	80	30.05.2025	08:37:42	52658,249
52660813	8	80	30.05.2025	08:37:48	52660,813
52660265	8	80	30.05.2025	08:37:54	52660,265
52657430	7	80	30.05.2025	08:38:00	52657,43
52658194	8	80	30.05.2025	08:38:06	52658,194
52658763	8	80	30.05.2025	08:38:12	52658,763
52660160	7	80	30.05.2025	08:38:18	52660,16
52663473	8	80	30.05.2025	08:38:24	52663,473
52661185	8	80	30.05.2025	08:38:30	52661,185
52660042	8	80	30.05.2025	08:38:36	52660,042
